[2048] (13032.001953, 4025.592041) * (0.925186, -0.000000) = 
[2049] (-5346.879883, -2751.012451) * (0.880457, -0.000000) = 
[2050] (5192.623535, -8513.032227) * (0.819889, -0.000000) = 
[2051] (-563.090088, 6599.097656) * (0.745443, -0.000000) = 
[2052] (-944.980896, -4434.267578) * (0.659514, -0.000000) = 
[2053] (4007.242432, -1418.766602) * (0.564846, -0.000000) = 
[2054] (-3083.115723, 3086.802246) * (0.464430, -0.000000) = 
[2055] (2548.689209, -3391.760010) * (0.361393, -0.000000) = 
[2056] (479.631104, 744.656250) * (0.258891, -0.000000) = 
[2057] (-1202.672607, 555.258545) * (0.159988, -0.000000) = 
[2058] (2110.294434, -1135.401855) * (0.067552, -0.000000) = 
[2059] (-561.661316, -133.316223) * (-0.015846, -0.000000) = 
[2060] (256.087219, 999.697449) * (-0.088026, -0.000000) = 
[2061] (551.589966, -1368.104980) * (-0.147269, -0.000000) = 
[2062] (578.593140, 564.824707) * (-0.192373, 0.000000) = 
[2063] (-513.576050, 286.104431) * (-0.222692, -0.000000) = 
[2064] (791.919006, -867.160522) * (-0.238146, -0.000000) = 
[2065] (684.919373, 842.033203) * (-0.239218, -0.000000) = 
[2066] (-1155.478760, -650.208679) * (-0.226920, -0.000000) = 
[2067] (1608.257080, 609.577332) * (-0.202749, -0.000000) = 
[2068] (-84.357239, -620.323669) * (-0.168616, -0.000000) = 
[2069] (-930.639404, 568.757202) * (-0.126768, -0.000000) = 
[2070] (1892.704346, 27.815041) * (-0.079684, 0.000000) = 
[2071] (-804.197083, -634.312988) * (-0.029979, -0.000000) = 
[2072] (-446.271362, 1234.238647) * (0.019704, -0.000000) = 
[2073] (1999.200684, -1033.654053) * (0.066811, -0.000000) = 
[2074] (-1782.145996, 585.293335) * (0.108971, -0.000000) = 
[2075] (1013.572876, 253.843719) * (0.144099, -0.000000) = 
[2076] (332.213745, -539.461060) * (0.170479, -0.000000) = 
[2077] (-546.492126, 397.812866) * (0.186833, -0.000000) = 
[2078] (0.000000, 0.000000) * (0.192373, -0.000000) = 
[2079] (98997.031250, 235022.062500) * (0.990388, -0.000000) = 
[256] (9.457535, 869.786499) * (-0.018303, -0.000000) = 
[257] (-583.606567, -584.856201) * (0.012030, -0.000000) = 
[258] (689.365356, -14.254517) * (0.040789, -0.000000) = 
