[1664] (85.298088, 32.054516) = 
[1665] (26.225330, 22.332544) = 
[1666] (80.703316, -31.443558) = 
[1667] (142.147919, -2.309821) = 
[1668] (140.816055, 81.211296) = 
[1669] (74.151833, 109.056831) = 
[1670] (32.001148, 93.661507) = 
[1671] (5.922738, 69.710808) = 
[1672] (-11.909796, 45.610882) = 
[1673] (-3.428516, 10.552538) = 
[1674] (14.859657, 7.153619) = 
[1675] (8.083952, 15.163431) = 
[1676] (-0.949149, 2.589550) = 
[1677] (5.885296, -4.682136) = 
[1678] (0.322110, -2.466521) = 
[1679] (-7.009558, -14.039805) = 
[1680] (13.179550, -15.881536) = 
[1681] (3.345117, 16.794029) = 
[1682] (-45.826241, 26.948606) = 
[1683] (-87.047325, -25.541740) = 
[1684] (-65.849564, -77.592163) = 
[1685] (-36.050926, -89.494934) = 
[1686] (-17.955738, -82.241966) = 
[1687] (4.131416, -84.313698) = 
[1688] (12.382735, -49.778759) = 
[1689] (-28.722824, -36.592518) = 
[1690] (9874.836914, -30874.769531) = 
[1691] (-1091.626831, -4137.716797) = 
[1692] (1404.378052, -5150.676758) = 
[1693] (5430.547852, -2918.106201) = 
[1694] (4922.737305, 1440.177490) = 
[1695] (787.278625, 2401.332031) = 
[4384] (-3.825546, -7.722712) = 
[4385] (-0.977675, -6.250924) = 
[4386] (-5.622721, 1.027498) = 
[4387] (-9.399983, -1.434267) = 
[4388] (-9.025033, -1.264376) = 
[4389] (-15.114499, -2.483267) = 
[4390] (-15.112419, -20.354650) = 
[4391] (3.302245, -29.737383) = 
[4392] (22.726002, -12.967105) = 
[4393] (15.433894, 9.900993) = 
[4394] (-2.416461, 9.080039) = 
[4395] (-2.454483, 4.146125) = 
[4396] (-0.521802, 4.477798) = 
[4397] (-9.461309, 6.983534) = 
[4398] (-15.076854, -1.906818) = 
[4399] (-6.017056, -7.374634) = 
[4400] (0.233246, -5.577209) = 
[4401] (-1.062980, 1.279397) = 
[4402] (-3.805278, 0.864246) = 
[4403] (-3.376047, 0.026050) = 
[4404] (-3.267136, 0.008291) = 
[4405] (-2.184247, -1.741106) = 
[4406] (-0.129361, -0.554907) = 
[4407] (-1.048756, 1.734401) = 
[4408] (-2.722083, 0.488653) = 
[4409] (-0.811673, -0.329173) = 
[4410] (-0.844103, 0.371609) = 
[4411] (-3.182678, -0.048287) = 
[4412] (0.343981, -3.702941) = 
[4413] (7.890518, -0.587354) = 
[4414] (5.236677, 5.677979) = 
[4415] (-2.039170, 7.090945) = 
[8032] (5.844772, -4.167280) = 
[8033] (9.289163, -3.597257) = 
[8034] (7.154230, 4.659366) = 
[8035] (-3.323894, 6.483760) = 
[8036] (-9.012703, -4.894791) = 
[8037] (-0.545468, -14.204606) = 
[8038] (8.215940, -10.609653) = 
[8039] (6.837867, -2.190197) = 
[8040] (2.785967, -2.241090) = 
[8041] (3.620683, -3.835013) = 
[8042] (4.666932, -1.613785) = 
[8043] (3.359043, 0.642933) = 
[8044] (0.912546, -0.148985) = 
[8045] (0.707366, -0.464909) = 
[8046] (0.169733, -0.056969) = 
[8047] (-0.701411, 0.132601) = 
[8048] (-2.000962, 0.151740) = 
[8049] (-2.847391, -1.623680) = 
[8050] (-0.666542, -3.753976) = 
[8051] (3.090761, -1.302641) = 
[8052] (1.510862, 4.252387) = 
[8053] (-3.819777, 5.629002) = 
[8054] (-4.882823, 0.582581) = 
[8055] (-1.567574, 0.637486) = 
[8056] (-2.824827, 4.491983) = 
[8057] (-7.371062, 3.311274) = 
[8058] (-8.581514, -1.991142) = 
[8059] (-3.167677, -1.464309) = 
[8060] (3030.496094, -357.231964) = 
[8061] (-30.033224, -474.602234) = 
[8062] (-100.342140, -403.003387) = 
[8063] (-111.221489, -305.435791) = 
[5472] (-213.209625, 89.303177) = 
[5473] (-153.254395, -20.936407) = 
[5474] (-60.702106, -36.566284) = 
[5475] (-37.988510, -11.646777) = 
[5476] (-31.785625, -18.046417) = 
[5477] (-4.928256, -7.612047) = 
[5478] (13.084938, 14.931449) = 
[5479] (-12.989313, 27.119310) = 
[5480] (-21.206297, 6.841339) = 
[5481] (-7.504425, -3.164801) = 
[5482] (-2.994514, 3.809743) = 
[5483] (-3.720582, 3.850220) = 
[5484] (-1.239170, 1.328545) = 
[5485] (0.386390, 1.586013) = 
[5486] (0.543642, -2.058927) = 
[5487] (6.992703, -5.132901) = 
